상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수
Ribbon Slim Tee White,공통,26.0,16.0,10.0,1168398.1351190477,503880.0,664518.1351190477,44938.38981227107,26.0,16.0,10.0
Loose Fit Top Charcoal,공통,26.0,19.0,7.0,1331878.7916666667,844680.0,487198.7916666667,51226.107371794875,26.0,19.0,7.0
Wood Check Hoodie Shirts Green,공통,26.0,11.0,15.0,3330376.4444444445,1140000.0,2190376.4444444445,128091.40170940172,26.0,11.0,15.0
Venatio Layered Belt Skirt Charcoal,공통,26.0,15.0,11.0,2529109.041666667,1308000.0,1221109.0416666667,97273.42467948719,26.0,15.0,11.0
BadBear Head Patch Cardigan Cloudy Blue,공통,25.0,22.0,3.0,1036038.8653846154,866250.0,169788.8653846154,41441.554615384615,25.0,22.0,3.0
Dot Garden Dress Mint,공통,25.0,13.0,12.0,1849243.0606060608,748070.0,1101173.0606060608,73969.72242424243,25.0,13.0,12.0
Logo Puff Hoodie Blue,공통,25.0,22.0,3.0,1654995.9487179487,1441840.0,213155.94871794872,66199.83794871795,24.0,21.0,3.0
Loose Fit Top Deep Beige,공통,25.0,13.0,12.0,1417856.8255050504,577450.0,840406.8255050505,56714.27302020202,25.0,13.0,12.0
Reversible Grass Check Shearling Jacket Green,공통,24.0,15.0,9.0,2785417.75,1543500.0,1241917.75,116059.07291666667,24.0,15.0,9.0
Milky Way Leg Warmer Skyblue,공통,24.0,15.0,9.0,945404.6617965368,279480.0,665924.6617965368,39391.86090818903,24.0,15.0,9.0
Shooting Star Buttons Angel Tee White,공통,24.0,23.0,1.0,1307095.0,1218645.0,88450.0,54462.291666666664,24.0,23.0,1.0
BadBear Head Patch Cardigan Black,공통,23.0,18.0,5.0,1155649.4166666665,766815.0,388834.4166666666,50245.62681159419,23.0,18.0,5.0
Glaze Vanilla Dimsum Bag,공통,23.0,16.0,7.0,3231291.666666667,1907200.0,1324091.6666666667,140490.94202898553,23.0,16.0,7.0
BadBear Varsity Jacket Navy,공통,23.0,22.0,1.0,2673177.1153846155,2597950.0,75227.11538461539,116225.09197324415,23.0,22.0,1.0
Memories Puff Sweatshirt Gray,공통,22.0,20.0,2.0,610231.6666666667,447300.0,162931.6666666667,27737.803030303035,20.0,18.0,2.0
Loose Fit Top Ivory,공통,21.0,17.0,4.0,1034763.125,738800.0,295963.125,49274.43452380953,21.0,17.0,4.0
Velour Pants Navy,공통,21.0,17.0,4.0,1561931.55,1272774.0,289157.55,74377.69285714286,21.0,17.0,4.0
Hockey Jersey Blue,공통,20.0,17.0,3.0,2658662.5,2216920.0,441742.49999999994,132933.125,20.0,17.0,3.0
BadBear Crop Tee White,공통,20.0,17.0,3.0,657735.1666666666,529299.0,128436.16666666667,32886.75833333333,19.0,17.0,2.0
Ribbon BadBear Tee Black,국내전용,20.0,20.0,0.0,593800.0,593800.0,0.0,29690.0,19.0,19.0,0.0
Velour Pants Skyblue,공통,19.0,18.0,1.0,1275223.25,1233224.0,41999.25,67117.01315789473,19.0,18.0,1.0
Classic Logo Cap Navy,공통,19.0,17.0,2.0,373948.5454545454,228735.0,145213.54545454544,19681.502392344497,19.0,17.0,2.0
Chocolate Blush Mori Dimsum Bag,공통,19.0,7.0,12.0,3102935.125,873600.0,2229335.125,163312.375,19.0,7.0,12.0
Pattern Beanie Skyblue,공통,18.0,13.0,5.0,913566.3333333333,420750.0,492816.3333333333,50753.68518518518,18.0,13.0,5.0
Ink Dimsum Bag,공통,17.0,11.0,6.0,2394263.0,1311200.0,1083063.0,140839.0,17.0,11.0,6.0
Glaze Pearl Gray Dimsum Bag,공통,17.0,12.0,5.0,2244720.0,1430400.0,814320.0,132042.35294117648,17.0,12.0,5.0
BadBear Seoul Varsity Jacket Navy,공통,17.0,15.0,2.0,1700541.5,1549640.0,150901.5,100031.85294117648,16.0,14.0,2.0
Off Shoulder Top Pink,공통,17.0,13.0,4.0,813264.1666666667,550500.0,262764.1666666667,47839.068627450986,17.0,13.0,4.0
Flora Lace Skirt Baby Pink,공통,16.0,14.0,2.0,1006077.0833333333,796250.0,209827.0833333333,62879.81770833333,16.0,14.0,2.0
Logo Beanie Skyblue,공통,15.0,11.0,4.0,399683.7954545454,132750.0,266933.7954545454,26645.58636363636,15.0,11.0,4.0
Check Beach Jacket Skyblue,공통,14.0,12.0,2.0,1068033.75,884500.0,183533.74999999997,76288.125,14.0,12.0,2.0
Logo Beanie Navy,국내전용,14.0,14.0,0.0,188325.0,188325.0,0.0,13451.785714285714,14.0,14.0,0.0
Velour Zipup Crop Jersey Navy,공통,14.0,13.0,1.0,1346765.0,1210900.0,135865.0,96197.5,14.0,13.0,1.0
Logo Pull Zip Hoodie Navy,공통,14.0,11.0,3.0,1437762.5,1188000.0,249762.5,102697.32142857143,14.0,11.0,3.0
Ribbon BadBear Tee White,공통,13.0,11.0,2.0,569169.5,367750.0,201419.5,43782.269230769234,12.0,10.0,2.0
Logo Crop Zipup Jersey Pink,공통,13.0,10.0,3.0,655886.9108391609,438600.0,217286.91083916085,50452.83929532007,13.0,10.0,3.0
Silky Babydoll Dress Ivory,공통,12.0,7.0,5.0,1954373.3333333333,1031400.0,922973.3333333333,162864.44444444444,12.0,7.0,5.0
Butter Dimsum Bag,공통,12.0,8.0,4.0,1767920.0,953600.0,814320.0,147326.66666666666,12.0,8.0,4.0
Doze Lace Sleeveless Mint,공통,12.0,10.0,2.0,632678.5714285714,410000.0,222678.5714285714,52723.21428571428,12.0,10.0,2.0
PPL Cap Black,공통,11.0,10.0,1.0,235320.0,175000.0,60320.0,21392.727272727272,10.0,9.0,1.0
Cream Puff Dimsum Bag,공통,11.0,6.0,5.0,1608327.5,715200.0,893127.5000000001,146211.5909090909,11.0,6.0,5.0
Berry BadBear Slim Tee White,공통,11.0,10.0,1.0,469255.0,394000.0,75255.0,42659.545454545456,11.0,10.0,1.0
Muddy Ribbon Dress Brown,공통,11.0,6.0,5.0,1084511.875,546000.0,538511.875,98591.98863636363,11.0,6.0,5.0
Logo Sweat Pants Ivory,공통,10.0,7.0,3.0,713849.25,383590.0,330259.25,71384.925,10.0,7.0,3.0
Logo Crop Sweatshirt Charcoal,공통,10.0,9.0,1.0,296090.0,217500.0,78590.0,29609.0,10.0,9.0,1.0
[Setup] Endot Blazer Jacket Navy,국내전용,9.0,9.0,0.0,1573656.0,1573656.0,0.0,174850.66666666666,8.0,8.0,0.0
BadBear Key Chain,공통,9.0,4.0,5.0,592741.4166666666,100000.0,492741.4166666666,65860.1574074074,9.0,4.0,5.0
BadBear Slim Tee White,공통,9.0,5.0,4.0,319834.85714285716,172200.0,147634.85714285713,35537.20634920635,7.0,5.0,2.0
BadBear Ringer Slim Tee Skyblue,공통,9.0,3.0,6.0,450511.35714285716,107750.0,342761.35714285716,50056.81746031746,8.0,3.0,5.0
BadBear Head Patch Cardigan Grey,공통,9.0,7.0,2.0,485311.55,294000.0,191311.55,53923.50555555555,9.0,7.0,2.0
Logo Beanie Cool Grey,공통,9.0,6.0,3.0,443613.3333333334,139500.0,304113.3333333334,49290.37037037037,9.0,6.0,3.0
BadBear Slim Tee Blue,공통,9.0,8.0,1.0,265802.0,226420.0,39382.0,29533.555555555555,9.0,8.0,1.0
Venatio Layered Belt Skirt Brown,공통,8.0,4.0,4.0,935396.5,432000.0,503396.49999999994,116924.5625,8.0,4.0,4.0
Check Beach Shorts Skyblue,공통,8.0,7.0,1.0,275306.4,233500.0,41806.4,34413.3,8.0,7.0,1.0
BadBear Ringer Slim Tee Navy,국내전용,8.0,8.0,0.0,204750.0,204750.0,0.0,25593.75,8.0,8.0,0.0
Logo Sweat Pants Navy,공통,8.0,7.0,1.0,614430.0,538450.0,75980.0,76803.75,8.0,7.0,1.0
Heart Puffer Jacket City Black,국내전용,7.0,7.0,0.0,1037000.0,1037000.0,0.0,148142.85714285713,7.0,7.0,0.0
Rush Drapey Snap One Shoulder Top Gray,공통,7.0,3.0,4.0,695431.5714285714,213000.0,482431.57142857136,99347.36734693877,7.0,3.0,4.0
BadBear Seoul Hoodie Navy,공통,7.0,6.0,1.0,361023.3333333334,237000.0,124023.33333333336,51574.76190476191,6.0,5.0,1.0
BadBear Seoul Varsity Jacket Blue,공통,7.0,6.0,1.0,651092.5,503700.0,147392.5,93013.21428571429,7.0,6.0,1.0
BadBear Crop Top Black,공통,7.0,6.0,1.0,217586.25,132000.0,85586.25,31083.75,7.0,6.0,1.0
Tiered Lace Capri Pants Vanilla,공통,7.0,5.0,2.0,577678.5714285714,355000.0,222678.5714285714,82525.51020408163,7.0,5.0,2.0
Graffiti Sweat Pants Charcoal,국내전용,6.0,6.0,0.0,267890.0,267890.0,0.0,44648.333333333336,6.0,6.0,0.0
B Patch College Hoodie Black,국내전용,6.0,6.0,0.0,150495.0,150495.0,0.0,25082.5,6.0,6.0,0.0
BadBear Hug Tee White,공통,6.0,3.0,3.0,335209.9642857143,121800.0,213409.9642857143,55868.32738095239,6.0,3.0,3.0
Classic Logo Cap Black,공통,6.0,3.0,3.0,322326.5375,85800.0,236526.53749999998,53721.08958333333,6.0,3.0,3.0
Suede Bao Bag Black,국내전용,6.0,6.0,0.0,414600.0,414600.0,0.0,69100.0,6.0,6.0,0.0
Dotty Tutu Mini Dress Dusty Pink,공통,6.0,5.0,1.0,501178.5714285714,380000.0,121178.57142857142,83529.76190476191,6.0,5.0,1.0
B Patch College Hoodie Navy,공통,6.0,5.0,1.0,234587.75,161950.0,72637.75,39097.958333333336,6.0,5.0,1.0
Graffiti Tee White,국내전용,6.0,6.0,0.0,127050.0,127050.0,0.0,21175.0,3.0,3.0,0.0
BadBear Cap Black,공통,5.0,4.0,1.0,161042.0,121660.0,39382.0,32208.4,5.0,4.0,1.0
Bond Bunny Crop Tee Lime,공통,5.0,3.0,2.0,182575.625,58800.0,123775.625,36515.125,5.0,3.0,2.0
Graffiti Tee Black,국내전용,5.0,5.0,0.0,113190.0,113190.0,0.0,22638.0,5.0,5.0,0.0
Doze Lace Sleeveless Neo Dot,공통,5.0,4.0,1.0,293178.5714285714,172000.0,121178.57142857142,58635.71428571428,5.0,4.0,1.0
BadBear Seoul Tee Black,공통,5.0,4.0,1.0,234550.0,141750.0,92800.0,46910.0,5.0,4.0,1.0
Dotty Tutu Mini Dress Misty Blue,국내전용,5.0,5.0,0.0,380000.0,380000.0,0.0,76000.0,5.0,5.0,0.0
BadBear Hug Patch Crop Zipup Hoodie Navy,공통,5.0,3.0,2.0,303585.44871794875,167700.0,135885.44871794875,60717.08974358975,5.0,3.0,2.0
Ribbon BadBear Ringer Slim Tee White,공통,5.0,4.0,1.0,179712.85714285713,137000.0,42712.85714285714,35942.57142857143,5.0,4.0,1.0
Rush Drapey Snap One Shoulder Top Ivory,국내전용,5.0,5.0,0.0,280000.0,280000.0,0.0,56000.0,5.0,5.0,0.0
Logo Pull Zip Hoodie Blue,공통,5.0,3.0,2.0,433300.0,297000.0,136300.0,86660.0,5.0,3.0,2.0
Lullaby Satin Lace Top Lemon,국내전용,4.0,4.0,0.0,332000.0,332000.0,0.0,83000.0,4.0,4.0,0.0
Logo Crop Zipup Jersey Blue,공통,4.0,3.0,1.0,168807.5,116100.0,52707.5,42201.875,4.0,3.0,1.0
Dot Buttons Knit Double Gray Setup,공통,4.0,2.0,2.0,453547.6778846154,282800.0,170747.67788461538,113386.91947115384,4.0,2.0,2.0
Baby BadBear Oversized Tee White,국내전용,4.0,4.0,0.0,112700.0,112700.0,0.0,28175.0,4.0,4.0,0.0
BadBear Slim Tee Black,공통,4.0,3.0,1.0,200680.0,87000.0,113680.00000000001,50170.0,4.0,3.0,1.0
Dot Buttons Knit Double Navy Setup,국내전용,4.0,4.0,0.0,565600.0,565600.0,0.0,141400.0,4.0,4.0,0.0
Endot Blazer Jacket Navy Setup,국내전용,4.0,4.0,0.0,873600.0,873600.0,0.0,218400.0,4.0,4.0,0.0
Endot Blazer Jacket Navy Set Up,해외전용,3.0,0.0,3.0,550695.5,0.0,550695.5,183565.16666666666,3.0,0.0,3.0
Fairy Tale Side Tie Skirt White,국내전용,3.0,3.0,0.0,330000.0,330000.0,0.0,110000.0,3.0,3.0,0.0
Pore Half Knit Top Baby Mint,국내전용,3.0,3.0,0.0,207000.0,207000.0,0.0,69000.0,3.0,3.0,0.0
Baby BadBear Oversized Tee Skyblue,공통,3.0,2.0,1.0,115882.5,61870.0,54012.5,38627.5,3.0,2.0,1.0
Ribbon Crop Jacket Navy,국내전용,3.0,3.0,0.0,462500.0,462500.0,0.0,154166.66666666666,3.0,3.0,0.0
Ribbon Crop Sweatshirt Navy,국내전용,3.0,3.0,0.0,102600.0,102600.0,0.0,34200.0,3.0,3.0,0.0
BadBear Ringer Slim Tee Blue,공통,3.0,1.0,2.0,164868.62499999997,29000.0,135868.62499999997,54956.20833333332,3.0,1.0,2.0
BadBear Photo Card Keyring,공통,3.0,1.0,2.0,201461.66666666666,22000.0,179461.66666666666,67153.88888888889,3.0,1.0,2.0
Logo Sweat Pants Skyblue,국내전용,3.0,3.0,0.0,80100.0,80100.0,0.0,26700.0,3.0,3.0,0.0
Ribbon Sleeveless White,국내전용,3.0,3.0,0.0,111150.0,111150.0,0.0,37050.0,3.0,3.0,0.0
BadBear Seoul Slim Tee White,공통,3.0,1.0,2.0,140799.35714285716,29400.0,111399.35714285714,46933.11904761905,3.0,1.0,2.0
Punk Crop Top Gray,국내전용,2.0,2.0,0.0,32900.0,32900.0,0.0,16450.0,2.0,2.0,0.0
DJ BadBear Graphic Poster Set,해외전용,2.0,0.0,2.0,171908.375,0.0,171908.375,85954.1875,2.0,0.0,2.0
Doze Lace Sleeveless White,국내전용,2.0,2.0,0.0,82000.0,82000.0,0.0,41000.0,2.0,2.0,0.0
Dreamy Rose Cardigan Oatmeal,국내전용,2.0,2.0,0.0,220000.0,220000.0,0.0,110000.0,2.0,2.0,0.0
Dreamy Rose Cardigan White,공통,2.0,1.0,1.0,211500.0,110000.0,101500.0,105750.0,2.0,1.0,1.0
Endot Blazer Jacket Charcoal Setup,국내전용,2.0,2.0,0.0,436800.0,436800.0,0.0,218400.0,2.0,2.0,0.0
BadBear Crop Sweatshirt Navy,공통,2.0,1.0,1.0,93812.5,41250.0,52562.5,46906.25,2.0,1.0,1.0
Endot Blazer Jacket Charcoal Set Up,해외전용,2.0,0.0,2.0,282731.875,0.0,282731.875,141365.9375,2.0,0.0,2.0
[Setup] Dot Buttons Knit Double Gray,국내전용,2.0,2.0,0.0,251300.0,251300.0,0.0,125650.0,2.0,2.0,0.0
BadBear Face Smart Tok,해외전용,2.0,0.0,2.0,104645.04999999999,0.0,104645.04999999999,52322.524999999994,2.0,0.0,2.0
BadBear Graphic Hoodie Grey,국내전용,2.0,2.0,0.0,97900.0,97900.0,0.0,48950.0,2.0,2.0,0.0
BadBear Slim Tee Skyblue,해외전용,2.0,0.0,2.0,111614.95833333334,0.0,111614.95833333334,55807.47916666667,2.0,0.0,2.0
Ribbon Blossom Crop Jacket White,국내전용,2.0,2.0,0.0,261000.0,261000.0,0.0,130500.0,2.0,2.0,0.0
BadBear Head Patch Cardigan Navy,공통,2.0,1.0,1.0,116385.0,42000.0,74385.0,58192.5,2.0,1.0,1.0
BadBear Seoul Stacking Mug,공통,2.0,1.0,1.0,78239.2,23000.0,55239.2,39119.6,2.0,1.0,1.0
BadBear Heart Cap Green,국내전용,2.0,2.0,0.0,50700.0,50700.0,0.0,25350.0,2.0,2.0,0.0
Lullaby Satin Lace Top Coral,국내전용,2.0,2.0,0.0,166000.0,166000.0,0.0,83000.0,2.0,2.0,0.0
[Setup] Dot Buttons Knit Double Navy,국내전용,1.0,1.0,0.0,141400.0,141400.0,0.0,141400.0,1.0,1.0,0.0
[Setup] Endot Blazer Jacket Charcoal,국내전용,1.0,1.0,0.0,218400.0,218400.0,0.0,218400.0,1.0,1.0,0.0
Cotton Cargo Skirt Pants Navy,해외전용,1.0,0.0,1.0,138910.0,0.0,138910.0,138910.0,1.0,0.0,1.0
Setup Ribbon Layerd Tee White,해외전용,1.0,0.0,1.0,41806.4,0.0,41806.4,41806.4,1.0,0.0,1.0
Logo Zipup Jersey Blue,국내전용,1.0,1.0,0.0,44700.0,44700.0,0.0,44700.0,1.0,1.0,0.0
BadBear Art Toy #2,해외전용,1.0,0.0,1.0,136336.25,0.0,136336.25,136336.25,1.0,0.0,1.0
Pattern Beanie Midnight,국내전용,1.0,1.0,0.0,22500.0,22500.0,0.0,22500.0,1.0,1.0,0.0
BadBear Seoul Hoodie White,국내전용,1.0,1.0,0.0,79000.0,79000.0,0.0,79000.0,1.0,1.0,0.0
Racing Crop Tee Black,해외전용,1.0,0.0,1.0,76106.875,0.0,76106.875,76106.875,1.0,0.0,1.0
Heart Puffer Pouch Sleeve City Black,국내전용,1.0,1.0,0.0,55000.0,55000.0,0.0,55000.0,1.0,1.0,0.0
Ribbon BadBear Crop Hoodie White,국내전용,1.0,1.0,0.0,33600.0,33600.0,0.0,33600.0,1.0,1.0,0.0
BadBear Graphic Cushion,국내전용,1.0,1.0,0.0,63750.0,63750.0,0.0,63750.0,1.0,1.0,0.0
Fairy Tale Side Tie Skirt Lemon,해외전용,1.0,0.0,1.0,121178.57142857142,0.0,121178.57142857142,121178.57142857142,1.0,0.0,1.0
Ribbon BadBear Rubber Keyring,해외전용,1.0,0.0,1.0,72637.75,0.0,72637.75,72637.75,1.0,0.0,1.0
BadBear Heart Cap Black,국내전용,1.0,1.0,0.0,26000.0,26000.0,0.0,26000.0,1.0,1.0,0.0
Lettering Crop Sweatshirt Navy,국내전용,1.0,1.0,0.0,22500.0,22500.0,0.0,22500.0,1.0,1.0,0.0
Bear Ear Zipup Crop Hoodie White,국내전용,1.0,1.0,0.0,139000.0,139000.0,0.0,139000.0,1.0,1.0,0.0
Mocha Dimsum Bag,해외전용,1.0,0.0,1.0,203580.0,0.0,203580.0,203580.0,1.0,0.0,1.0
